group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fan_out/hydroflow/compiled (push),,,,,58908168.0,ns,7
fan_out/hydroflow/compiled (push),,,,,58436861.0,ns,7
fan_out/hydroflow/compiled (push),,,,,57864152.0,ns,7
fan_out/hydroflow/compiled (push),,,,,58001455.0,ns,7
fan_out/hydroflow/compiled (push),,,,,54202898.0,ns,7
fan_out/hydroflow/compiled (push),,,,,56422131.0,ns,7
fan_out/hydroflow/compiled (push),,,,,56218928.0,ns,7
fan_out/hydroflow/compiled (push),,,,,55575119.0,ns,7
fan_out/hydroflow/compiled (push),,,,,59319073.0,ns,7
fan_out/hydroflow/compiled (push),,,,,54038196.0,ns,7
fan_out/hydroflow/compiled (push),,,,,50715347.0,ns,7
fan_out/hydroflow/compiled (push),,,,,50108839.0,ns,7
fan_out/hydroflow/compiled (push),,,,,50408342.0,ns,7
fan_out/hydroflow/compiled (push),,,,,52938580.0,ns,7
fan_out/hydroflow/compiled (push),,,,,51578560.0,ns,7
fan_out/hydroflow/compiled (push),,,,,51945965.0,ns,7
fan_out/hydroflow/compiled (push),,,,,54404101.0,ns,7
fan_out/hydroflow/compiled (push),,,,,53291485.0,ns,7
fan_out/hydroflow/compiled (push),,,,,56303529.0,ns,7
fan_out/hydroflow/compiled (push),,,,,54093997.0,ns,7
fan_out/hydroflow/compiled (push),,,,,53543489.0,ns,7
fan_out/hydroflow/compiled (push),,,,,53855293.0,ns,7
fan_out/hydroflow/compiled (push),,,,,59317074.0,ns,7
fan_out/hydroflow/compiled (push),,,,,57682449.0,ns,7
fan_out/hydroflow/compiled (push),,,,,50013637.0,ns,7
fan_out/hydroflow/compiled (push),,,,,55075811.0,ns,7
fan_out/hydroflow/compiled (push),,,,,57544848.0,ns,7
fan_out/hydroflow/compiled (push),,,,,53184683.0,ns,7
fan_out/hydroflow/compiled (push),,,,,52137968.0,ns,7
fan_out/hydroflow/compiled (push),,,,,54907609.0,ns,7
fan_out/hydroflow/compiled (push),,,,,56183028.0,ns,7
fan_out/hydroflow/compiled (push),,,,,53929294.0,ns,7
fan_out/hydroflow/compiled (push),,,,,52792578.0,ns,7
fan_out/hydroflow/compiled (push),,,,,52539573.0,ns,7
fan_out/hydroflow/compiled (push),,,,,50836449.0,ns,7
fan_out/hydroflow/compiled (push),,,,,52403172.0,ns,7
fan_out/hydroflow/compiled (push),,,,,54746807.0,ns,7
fan_out/hydroflow/compiled (push),,,,,54127797.0,ns,7
fan_out/hydroflow/compiled (push),,,,,53038881.0,ns,7
fan_out/hydroflow/compiled (push),,,,,50955151.0,ns,7
fan_out/hydroflow/compiled (push),,,,,53096382.0,ns,7
fan_out/hydroflow/compiled (push),,,,,52725176.0,ns,7
fan_out/hydroflow/compiled (push),,,,,56356130.0,ns,7
fan_out/hydroflow/compiled (push),,,,,56551933.0,ns,7
fan_out/hydroflow/compiled (push),,,,,51354757.0,ns,7
fan_out/hydroflow/compiled (push),,,,,50762748.0,ns,7
fan_out/hydroflow/compiled (push),,,,,53477787.0,ns,7
fan_out/hydroflow/compiled (push),,,,,52894179.0,ns,7
fan_out/hydroflow/compiled (push),,,,,50573045.0,ns,7
fan_out/hydroflow/compiled (push),,,,,51470558.0,ns,7
fan_out/hydroflow/compiled (push),,,,,53842694.0,ns,7
fan_out/hydroflow/compiled (push),,,,,51802463.0,ns,7
fan_out/hydroflow/compiled (push),,,,,57173342.0,ns,7
fan_out/hydroflow/compiled (push),,,,,55456417.0,ns,7
fan_out/hydroflow/compiled (push),,,,,57685649.0,ns,7
fan_out/hydroflow/compiled (push),,,,,57275544.0,ns,7
fan_out/hydroflow/compiled (push),,,,,54744906.0,ns,7
fan_out/hydroflow/compiled (push),,,,,52115768.0,ns,7
fan_out/hydroflow/compiled (push),,,,,50395942.0,ns,7
fan_out/hydroflow/compiled (push),,,,,52326271.0,ns,7
fan_out/hydroflow/compiled (push),,,,,54996110.0,ns,7
fan_out/hydroflow/compiled (push),,,,,52868279.0,ns,7
fan_out/hydroflow/compiled (push),,,,,55683921.0,ns,7
fan_out/hydroflow/compiled (push),,,,,54457303.0,ns,7
fan_out/hydroflow/compiled (push),,,,,53905395.0,ns,7
fan_out/hydroflow/compiled (push),,,,,55394316.0,ns,7
fan_out/hydroflow/compiled (push),,,,,53640591.0,ns,7
fan_out/hydroflow/compiled (push),,,,,53014182.0,ns,7
fan_out/hydroflow/compiled (push),,,,,52497574.0,ns,7
fan_out/hydroflow/compiled (push),,,,,51975366.0,ns,7
fan_out/hydroflow/compiled (push),,,,,53303086.0,ns,7
fan_out/hydroflow/compiled (push),,,,,53486989.0,ns,7
fan_out/hydroflow/compiled (push),,,,,56116327.0,ns,7
fan_out/hydroflow/compiled (push),,,,,58066156.0,ns,7
fan_out/hydroflow/compiled (push),,,,,55613620.0,ns,7
fan_out/hydroflow/compiled (push),,,,,55028611.0,ns,7
fan_out/hydroflow/compiled (push),,,,,55511619.0,ns,7
fan_out/hydroflow/compiled (push),,,,,57776851.0,ns,7
fan_out/hydroflow/compiled (push),,,,,56650036.0,ns,7
fan_out/hydroflow/compiled (push),,,,,56046926.0,ns,7
fan_out/hydroflow/compiled (push),,,,,58674565.0,ns,7
fan_out/hydroflow/compiled (push),,,,,59527178.0,ns,7
fan_out/hydroflow/compiled (push),,,,,58343660.0,ns,7
fan_out/hydroflow/compiled (push),,,,,56341930.0,ns,7
fan_out/hydroflow/compiled (push),,,,,56257130.0,ns,7
fan_out/hydroflow/compiled (push),,,,,57253944.0,ns,7
fan_out/hydroflow/compiled (push),,,,,57646850.0,ns,7
fan_out/hydroflow/compiled (push),,,,,58433761.0,ns,7
fan_out/hydroflow/compiled (push),,,,,55472418.0,ns,7
fan_out/hydroflow/compiled (push),,,,,53783893.0,ns,7
fan_out/hydroflow/compiled (push),,,,,52707177.0,ns,7
fan_out/hydroflow/compiled (push),,,,,51394558.0,ns,7
fan_out/hydroflow/compiled (push),,,,,53592490.0,ns,7
fan_out/hydroflow/compiled (push),,,,,57067341.0,ns,7
fan_out/hydroflow/compiled (push),,,,,57277645.0,ns,7
fan_out/hydroflow/compiled (push),,,,,56604334.0,ns,7
fan_out/hydroflow/compiled (push),,,,,57157843.0,ns,7
fan_out/hydroflow/compiled (push),,,,,56705836.0,ns,7
fan_out/hydroflow/compiled (push),,,,,58520963.0,ns,7
fan_out/hydroflow/compiled (push),,,,,59067171.0,ns,7
